cod;nome;período;de-jovens -UF.csv;mulheres-negras;homens-negros;mulheres-nao-negras;de-jovens-mulheres;de-mulheres-por-armas-de-fogo;de-jovens-homens;homicidios;de-jovens-por-armas-de-fogo;mulheres;por-armas-de-fogo;negros;de-homens-por-armas-de-fogo;homens-nao-negros;nao-negros;homens
27;AL;2015;118.91;7.53;131.13;0.222;8.91;3.59;233.0;52.33;105.19;5.59;44.18;66.41;61.18;13.82;6.54;101.69
27;AL;2016;122.39;7.0;136.44;1.32;9.13;4.21;240.0;54.18;108.78;5.91;46.03;69.74;73.03;7.37;4.08;105.25
27;AL;2017;128.65;7.85;132.04;0.228;9.576;4.48;252.29;53.71;112.65;6.46;45.2;67.9;74.41;7.87;3.72;103.88
27;AL;2018;95.61;4.37;95.26;0.65;6.19;2.55;189.04;43.37;82.46;3.88;35.48;48.26;56.65;5.28;2.84;83.57
27;AL;2019;70.32;7.02;83.73;0.0;9.77;2.71;134.19;33.41;57.5;5.18;24.96;44.08;52.28;2.17;1.03;62.15
27;AL;2020;84.62;7.01;98.16;0.0;8.61;2.4;161.9;38.54;60.79;5.1;25.92;51.33;48.66;2.292;1.1;74.88
27;AL;2021;74.48;5.26;85.76;0.0;5.57;1.65;146.25;31.79;27.01;3.7;21.86;43.92;43.87;2.57;1.22;62.36
13;AM;1980;;;;;4.526;;32.71;9.65;;2.97;3.21;;;;;
13;AM;1981;;;;;3.381;;35.59;9.18;;1.91;3.51;;;;;
13;AM;1982;;;;;3.691;;31.66;10.16;;2.62;3.75;;;;;
13;AM;1983;;;;;2.649;;37.4;9.38;;1.51;3.73;;;;;
13;AM;1984;;;;;4.23;;46.99;12.5;;2.54;4.96;;;;;
13;AM;1985;;;;;3.66;;34.46;10.6;;1.98;4.89;;;;;
13;AM;1986;;;;;1.957;;35.14;8.84;;1.24;4.17;;;;;
13;AM;1987;;;;;3.398;;39.2;9.89;;1.74;5.43;;;;;
13;AM;1988;;;;;5.472;;40.5;11.87;;2.42;5.52;;;;;
13;AM;1989;28.55;;;;7.06;0.91;50.2;16.22;14.54;3.16;7.38;;13.6;;;28.9
13;AM;1990;35.59;;;;4.8;1.38;66.6;18.02;20.46;3.07;9.87;;17.9;;;32.31
13;AM;1991;40.05;;;;3.31;1.05;77.1;19.16;23.43;1.73;11.08;;20.9;;;36.2
