cod;nome;período;de-homens-por-armas-de-fogo;de-jovens-homens;de-jovens-mulheres;de-jovens-por-armas-de-fogo;de-jovens;de-mulheres-por-armas-de-fogo;homens-nao-negros;homens-negros;homens;homicidios;mulheres-nao-negras;mulheres-negras;mulheres;nao-negros;negros;por-armas-de-fogo
43;RS;2009;471.0;980;101;858.0;1081.0;126.0;1589.0;409.0;2017.0;2242.0;186.0;36.0;225.0;1775.0;445.0;1645
43;RS;2010;441.0;891;92;787.0;983.0;119.0;1438.0;398.0;1856.0;2085.0;185.0;38.0;227.0;1623.0;436.0;1496
43;RS;2011;450.0;926;92;829.0;1018.0;114.0;1424.0;427.0;1869.0;2077.0;180.0;21.0;202.0;1605.0;448.0;1531
43;RS;2012;454.0;1041;108;918.0;1149.0;135.0;1617.0;475.0;2135.0;2382.0;202.0;39.0;247.0;1819.0;514.0;1737
43;RS;2013;405.0;995;83;903.0;1078.0;112.0;1614.0;454.0;2108.0;2322.0;173.0;33.0;210.0;1787.0;487.0;1714
43;RS;2014;460.0;1247;76;1083.0;1323.0;129.0;1860.0;577.0;2474.0;2724.0;196.0;51.0;250.0;2056.0;628.0;2055
43;RS;2015;536.0;1291;100;1189.0;1391.0;158.0;2024.0;601.0;2660.0;2944.0;223.0;55.0;284.0;2247.0;656.0;2282
43;RS;2016;561.0;1487;121;1352.0;1608.0;190.0;2163.0;707.0;2913.0;3225.0;250.0;50.0;308.0;2413.0;757.0;2507
43;RS;2017;618.0;1525;114;1405.0;1639.0;188.0;2211.0;772.0;3014.0;3316.0;238.0;61.0;302.0;2449.0;833.0;2591
43;RS;2018;411.0;1189;102;1094.0;1291.0;147.0;1786.0;619.0;2441.0;2699.0;201.0;54.0;256.0;1987.0;673.0;2075
43;RS;2019;335.0;909;87;823.0;996.0;132.0;1446.0;463.0;1946.0;2184.0;177.0;52.0;236.0;1623.0;515.0;1602
43;RS;2020;341.0;859;73;768.0;932.0;122.0;1377.0;474.0;1876.0;2094.0;162.0;49.0;214.0;1541.0;523.0;1545
43;RS;2021;342.0;703;68;639.0;771.0;118.0;1223.0;411.0;1656.0;1889.0;182.0;45.0;230.0;1406.0;456.0;1379
42;SC;1979;;70;5;;;;;;;;;;;;;79
42;SC;1980;;103;11;;;;;;;;;;;;;119
42;SC;1981;;103;10;;;;;;;;;;;;;105
42;SC;1982;;83;14;;;;;;;;;;;;;86
42;SC;1983;;102;23;;;;;;;;;;;;;121
42;SC;1984;;102;12;;;;;;;;;;;;;120
42;SC;1985;;103;16;;;;;;;;;;;;;116
42;SC;1986;;100;5;;;;;;;;;;;;;105
42;SC;1987;;117;15;;;;;;;;;;;;;151
42;SC;1988;;115;17;;;;;;;;;;;;;155
42;SC;1989;142.0;153;15;82.0;168.0;15.0;;;315.0;354.0;;;39.0;;;157
42;SC;1990;150.0;140;18;77.0;158.0;17.0;;;341.0;388.0;;;46.0;;;167
42;SC;1991;148.0;131;16;82.0;147.0;17.0;;;317.0;355.0;;;38.0;;;165
42;SC;1992;141.0;145;12;74.0;157.0;10.0;;;311.0;361.0;;;50.0;;;151
42;SC;1993;163.0;146;13;81.0;159.0;12.0;;;337.0;371.0;;;34.0;;;175
42;SC;1994;145.0;131;19;71.0;150.0;9.0;;;301.0;346.0;;;45.0;;;154
42;SC;1995;197.0;155;20;94.0;175.0;21.0;;;372.0;420.0;;;48.0;;;218
42;SC;1996;187.0;154;28;108.0;182.0;26.0;1.0;0.0;345.0;412.0;0.0;0.0;67.0;1.0;0.0;213
42;SC;1997;205.0;156;17;97.0;173.0;20.0;111.0;10.0;372.0;423.0;12.0;1.0;51.0;123.0;11.0;225
42;SC;1998;171.0;148;28;95.0;176.0;27.0;179.0;34.0;345.0;414.0;44.0;2.0;69.0;223.0;36.0;198
42;SC;1999;160.0;128;19;77.0;147.0;19.0;217.0;44.0;335.0;385.0;42.0;1.0;50.0;259.0;45.0;179
42;SC;2000;407.0;154;18;99.0;172.0;26.0;292.0;47.0;380.0;433.0;40.0;9.0;53.0;332.0;56.0;222
42;SC;2001;358.0;189;25;133.0;214.0;25.0;320.0;61.0;417.0;477.0;41.0;7.0;60.0;361.0;68.0;269
42;SC;2002;386.0;231;32;162.0;263.0;36.0;396.0;75.0;510.0;585.0;61.0;9.0;75.0;457.0;84.0;317
42;SC;2003;395.0;283;30;220.0;313.0;30.0;442.0;93.0;600.0;670.0;52.0;8.0;70.0;494.0;101.0;414
42;SC;2004;363.0;258;23;202.0;281.0;32.0;427.0;92.0;559.0;638.0;63.0;7.0;79.0;490.0;99.0;377
